# Relevé des lancements de la suite de tests du simulateur Mars Rover, un par
# ligne, du plus ancien au plus récent, avec le sujet des tests en échec. Ces
# valeurs ne viennent d'aucune production.
lancement,echecs,total,sujet
1,0,43,
2,0,43,
3,1,43,carte
4,0,43,
5,0,43,
6,0,43,
7,2,43,carte
8,0,43,
9,0,43,
10,1,43,rotation
11,0,43,
12,0,43,
13,0,43,
14,1,43,carte
15,0,43,
16,0,43,
17,0,43,
18,2,43,carte
19,0,43,
20,0,43,
21,1,43,rotation
22,0,43,
23,0,43,
24,0,43,
25,1,43,carte
26,0,43,
27,0,43,
28,1,43,rotation
29,0,43,
30,7,43,obstacle
